"last_name","state","AGE"
"Washington","VA","67.9"
"Adams","MA","90.7"
"Jefferson","VA","83.3"
"Madison","VA","85.3"
"Monroe","VA","73.2"
"Adams","MA","80.7"
"Jackson","SC","78.3"
"Van Buren","NY","79.7"
"Harrison","VA","68.2"
"Tyler","VA","71.9"
"Polk","NC","53.7"
"Taylor","VA","65.7"
"Fillmore","NY","74.2"
"Pierce","NH","64.9"
"Buchanan","PA","77.2"
"Lincoln","KY","56.2"
"Johnson","NC","66.6"
"Grant","OH","63.3"
"Hayes","OH","70.3"
"Garfield","OH","49.9"
"Arthur","VT","57.2"
"Cleveland","NJ","71.3"
"Harrison","OH","67.6"
"McKinley","OH","58.7"
"Roosevelt","NY","60.2"
"Taft","OH","72.5"
"Wilson","VA","67.2"
"Harding","OH","57.8"
"Coolidge","VT","60.5"
"Hoover","IA","90.3"
"Roosevelt","NY","63.2"
"Truman","MO","88.7"
"Eisenhower","TX","78.5"
"Kennedy","MA","46.5"
"Johnson","TX","64.4"
"Nixon","CA","81.3"
"Ford","NE","93.5"
"Carter","GA",\N
"Reagan","IL","93.4"
"Bush","MA",\N
"Clinton","AR",\N
"Bush","CT",\N
